elapsed_ms,offered_rps,admitted_rps,accepted_rps,capacity_rps,rejection_probability,failure_ratio
184,86.86104539982546,86.86104539982546,81.43223006233637,1200.0,0.0,0.0
263,313.35748709556265,313.35748709556265,325.89178657938515,1200.0,0.0,0.0
326,338.1227345273628,338.1227345273628,338.1227345273628,1200.0,0.0,0.0
377,485.39330205782494,485.39330205782494,465.9775699755119,1200.0,0.0,0.0
427,638.792159009901,638.792159009901,658.7544139789603,1200.0,0.0,0.0
477,799.1229625486029,799.1229625486029,799.1229625486029,1200.0,0.0,0.0
529,619.516708433386,619.516708433386,619.516708433386,1200.0,0.0,0.0
580,784.6130784564825,784.6130784564825,784.6130784564825,1200.0,0.0,0.0
639,270.7304434268552,253.80979071267674,253.80979071267674,1200.0,0.0,0.0
697,569.5497967742771,586.8088815250128,552.2907120235413,1200.0,0.0,0.0
749,570.7269468975293,570.7269468975293,608.7754100240312,1200.0,0.0,0.0
802,757.3450542073509,757.3450542073509,757.3450542073509,1200.0,0.0,0.0
853,795.6181331317767,795.6181331317767,795.6181331317767,1200.0,0.0,0.0
904,635.7248467277027,635.7248467277027,635.7248467277027,1200.0,0.0,0.0
955,770.9770093469695,770.9770093469695,770.9770093469695,1200.0,0.0,0.0
1006,730.0008138522587,730.0008138522587,730.0008138522587,1200.0,0.0,0.0
1057,685.2913585719092,685.2913585719092,685.2913585719092,1200.0,0.0,0.0
1108,784.5265167707155,784.5265167707155,784.5265167707155,1200.0,0.0,0.0
1161,620.1924397000516,601.3987294061106,601.3987294061106,1200.0,0.0,0.0
1212,763.1627224362502,782.730997370513,782.730997370513,1200.0,0.0,0.0
1262,715.5172842143968,715.5172842143968,715.5172842143968,1200.0,0.0,0.0
1313,710.9630622695813,710.9630622695813,710.9630622695813,1200.0,0.0,0.0
1365,621.0637657813273,621.0637657813273,621.0637657813273,1200.0,0.0,0.0
1418,597.8910365259482,597.8910365259482,597.8910365259482,1200.0,0.0,0.0
1469,631.0428640006592,631.0428640006592,631.0428640006592,1200.0,0.0,0.0
1519,792.8452377195805,792.8452377195805,792.8452377195805,1200.0,0.0,0.0
1570,634.5355951962721,634.5355951962721,614.7063578463885,130.0,0.0,0.013888888888888888
1621,720.3740010481247,720.3740010481247,136.28697317126685,130.0,0.0,0.4411764705882353
1671,699.0004293859781,599.1432251879812,119.82864503759625,130.0,0.49382716049382713,0.75
1721,677.3178214271485,278.8955735288259,139.44778676441294,130.0,0.6133333333333333,0.8108108108108109
1771,759.0309755147993,239.69399226783133,119.84699613391567,130.0,0.6197183098591549,0.8142857142857143
1821,798.692811423256,279.54248399813963,139.77124199906982,130.0,0.6428571428571429,0.8260869565217391
1872,632.0737946155214,217.27536689908547,98.76153040867521,130.0,0.6419753086419753,0.825
1923,780.9582846251278,292.85935673442293,156.19165692502557,130.0,0.6172839506172839,0.8125
1975,770.03041620144,250.259885265468,115.504562430216,130.0,0.6575342465753424,0.8333333333333334
2029,739.9471200490393,221.9841360147118,147.98942400980786,130.0,0.6229508196721312,0.8125
2080,628.189509541433,274.83291042437696,117.7855330390187,130.0,0.6027397260273972,0.8055555555555556
2130,798.1350298012646,239.44050894037937,139.6736302152213,130.0,0.6172839506172839,0.8125
2181,795.1680342132179,258.4296111192958,139.15440598731314,130.0,0.6301369863013698,0.8194444444444444
2231,696.2824228137612,238.72540210757526,119.36270105378763,130.0,0.6323529411764706,0.8208955223880597
2282,731.5674705004809,177.94884417579266,98.86046898655148,130.0,0.6785714285714286,0.8433734939759037
2332,788.918970369229,374.7365109253838,157.7837940738458,130.0,0.6419753086419753,0.825
2385,765.2390176244112,248.70268072793363,114.78585264366167,130.0,0.6575342465753424,0.8333333333333334
2443,684.3133984286454,188.1861845678775,136.86267968572906,130.0,0.6153846153846154,0.8125
2495,767.1690025364526,249.32992582434707,134.2545754438792,130.0,0.6153846153846154,0.8125
2547,773.8659135300414,406.27960460327176,135.42653486775725,130.0,0.6461538461538462,0.828125
2602,578.8445835215031,180.8889323504697,90.44446617523485,130.0,0.6575342465753424,0.8333333333333334
2654,776.4056834604122,310.5622733841649,155.28113669208244,130.0,0.6301369863013698,0.8194444444444444
2704,795.676152565253,298.37855721196985,139.24332669891928,130.0,0.6391752577319587,0.8229166666666666
2758,732.9631869239367,366.4815934619684,146.59263738478734,130.0,0.6292134831460674,0.8181818181818182
2809,656.977901652399,139.35894883535735,99.54210631096954,130.0,0.6301369863013698,0.8194444444444444
2860,766.2138964678031,275.05114232177544,137.52557116088772,130.0,0.651685393258427,0.8295454545454546
2911,779.8164019758598,311.9265607903439,155.96328039517195,130.0,0.6329113924050633,0.8205128205128205
2965,745.7811023207756,316.9569684863297,130.51169290613575,130.0,0.6527777777777778,0.8194444444444444
3015,715.4260380936146,139.11061851820284,79.49178201040162,130.0,0.6746987951807228,0.8414634146341463
3066,700.2846482023781,330.6899727622341,155.61881071163958,130.0,0.6351351351351351,0.821917808219178
3119,764.7178310690516,382.3589155345258,133.82562043708404,130.0,0.6301369863013698,0.8194444444444444
3174,869.8587159163758,235.58673556068513,108.73233948954697,130.0,0.6741573033707865,0.8409090909090909
3230,567.2845275644704,106.3658489183382,106.3658489183382,130.0,0.6794871794871795,0.8441558441558441
3287,709.0192459374704,283.60769837498816,177.2548114843676,130.0,0.547945205479452,0.7777777777777778
3343,708.178722426818,230.15808478871585,123.93127642469315,130.0,0.547945205479452,0.7777777777777778
3393,795.1976740149956,337.9590114563731,139.15959295262422,130.0,0.651685393258427,0.8295454545454546
3444,626.8379697305821,274.24161175712965,117.53211932448414,130.0,0.6301369863013698,0.8194444444444444
