elapsed_ms,offered_rps,admitted_rps,accepted_rps,capacity_rps,rejection_probability,failure_ratio
134,74.15275838992116,74.15275838992116,74.15275838992116,1200.0,0.0,0.0
245,262.7515668442206,253.69116798752333,253.69116798752333,1200.0,0.0,0.0
303,325.3626616378157,342.4870122503323,308.2383110252991,1200.0,0.0,0.0
365,407.2219476731851,390.9330697662577,423.5108255801125,1200.0,0.0,0.0
416,621.0542193530897,640.4621637078737,640.4621637078737,1200.0,0.0,0.0
466,777.0014271723137,777.0014271723137,777.0014271723137,1200.0,0.0,0.0
518,639.8852084716924,639.8852084716924,639.8852084716924,1200.0,0.0,0.0
569,780.3666158459412,780.3666158459412,780.3666158459412,1200.0,0.0,0.0
640,308.1948333769849,308.1948333769849,308.1948333769849,1200.0,0.0,0.0
696,575.7354426552746,575.7354426552746,575.7354426552746,1200.0,0.0,0.0
750,629.6165126189501,629.6165126189501,629.6165126189501,1200.0,0.0,0.0
802,727.9931827653131,727.9931827653131,727.9931827653131,1200.0,0.0,0.0
853,794.4902103909388,794.4902103909388,794.4902103909388,1200.0,0.0,0.0
904,625.561001150954,625.561001150954,625.561001150954,1200.0,0.0,0.0
955,779.8949629664927,779.8949629664927,779.8949629664927,1200.0,0.0,0.0
1006,783.5212475193963,763.9332163314114,763.9332163314114,1200.0,0.0,0.0
1057,632.478764920767,652.2437263245411,652.2437263245411,1200.0,0.0,0.0
1108,783.1594712780767,783.1594712780767,783.1594712780767,1200.0,0.0,0.0
1159,620.7389785030139,620.7389785030139,620.7389785030139,1200.0,0.0,0.0
1212,757.5644084574415,757.5644084574415,757.5644084574415,1200.0,0.0,0.0
1262,675.5464599626958,675.5464599626958,675.5464599626958,1200.0,0.0,0.0
1313,756.9614206046373,756.9614206046373,756.9614206046373,1200.0,0.0,0.0
1365,613.5508534722453,613.5508534722453,613.5508534722453,1200.0,0.0,0.0
1416,543.3521360986878,543.3521360986878,543.3521360986878,1200.0,0.0,0.0
1467,713.6432229912058,713.6432229912058,713.6432229912058,1200.0,0.0,0.0
1517,795.2411497214828,795.2411497214828,795.2411497214828,1200.0,0.0,0.0
