elapsed_ms,kind,detail
296,rate_change,50.0
588,worsening,0
723,rate_change,60.0
732,recovered,
781,rate_change,70.0
844,rate_change,80.0
865,rate_change,90.0
909,rate_change,100.0
1008,rate_change,110.0
1085,rate_change,120.0
1146,rate_change,130.0
1237,rate_change,140.0
1299,rate_change,150.0
1381,rate_change,160.0
1458,rate_change,170.0
1542,rate_change,180.0
1619,rate_change,190.0
1701,rate_change,200.0
1778,rate_change,210.0
1867,rate_change,220.0
1938,rate_change,230.0
2018,rate_change,240.0
2098,rate_change,250.0
2178,rate_change,260.0
2258,rate_change,270.0
2338,rate_change,280.0
2418,rate_change,290.0
2501,rate_change,300.0
2501,worsening,0
2504,rate_change,150.0
2578,rate_change,160.0
2648,recovered,
2658,rate_change,170.0
2742,rate_change,180.0
2819,rate_change,190.0
2898,rate_change,200.0
2978,rate_change,210.0
3067,rate_change,220.0
3138,rate_change,230.0
3219,rate_change,240.0
3298,rate_change,250.0
3378,rate_change,260.0
3458,rate_change,270.0
3538,rate_change,280.0
3618,rate_change,290.0
3698,rate_change,300.0
3723,worsening,0
3724,rate_change,150.0
3778,rate_change,160.0
3848,recovered,
3858,rate_change,170.0
3941,rate_change,180.0
4018,rate_change,190.0
4098,rate_change,200.0
4181,rate_change,210.0
4259,rate_change,220.0
4338,rate_change,230.0
4418,rate_change,240.0
4498,rate_change,250.0
4578,rate_change,260.0
4658,rate_change,270.0
4739,rate_change,280.0
4818,rate_change,290.0
4897,worsening,0
4898,rate_change,145.0
4898,rate_change,155.0
4978,rate_change,165.0
4998,recovered,
5065,rate_change,175.0
5138,rate_change,185.0
5220,rate_change,195.0
5298,rate_change,205.0
5378,rate_change,215.0
5458,rate_change,225.0
5542,rate_change,235.0
5619,rate_change,245.0
5698,rate_change,255.0
5779,rate_change,265.0
5858,rate_change,275.0
5938,rate_change,285.0
6018,rate_change,295.0
6073,rate_change,147.5
6073,worsening,0
6098,rate_change,157.5
6178,rate_change,167.5
6198,recovered,
6259,rate_change,177.5
6338,rate_change,187.5
6418,rate_change,197.5
6498,rate_change,207.5
6578,rate_change,217.5
6658,rate_change,227.5
6738,rate_change,237.5
6821,rate_change,247.5
6898,rate_change,257.5
6978,rate_change,267.5
7058,rate_change,277.5
7138,rate_change,287.5
7223,rate_change,297.5
7224,worsening,0
7225,rate_change,148.75
7298,rate_change,158.75
7373,recovered,
7378,rate_change,168.75
7458,rate_change,178.75
7538,rate_change,188.75
7618,rate_change,198.75
7698,rate_change,208.75
