elapsed_ms,kind,detail
295,rate_change,50.0
681,rate_change,60.0
766,rate_change,70.0
785,rate_change,80.0
864,rate_change,90.0
959,rate_change,100.0
1023,rate_change,110.0
1097,rate_change,120.0
1181,rate_change,130.0
1276,rate_change,140.0
1336,rate_change,150.0
1415,rate_change,160.0
1495,rate_change,170.0
1575,rate_change,180.0
1657,rate_change,190.0
1736,rate_change,200.0
1815,rate_change,210.0
1895,rate_change,220.0
1975,rate_change,230.0
2000,worsening,0
2002,rate_change,115.0
2058,rate_change,125.0
2125,recovered,
2135,rate_change,135.0
2251,rate_change,145.0
2295,rate_change,155.0
2376,rate_change,165.0
2456,rate_change,175.0
2537,rate_change,185.0
2615,rate_change,195.0
2650,rate_change,97.5
2650,worsening,0
2696,rate_change,107.5
2750,recovered,
2775,rate_change,117.5
2855,rate_change,127.5
2935,rate_change,137.5
3018,rate_change,147.5
3095,rate_change,157.5
3175,rate_change,167.5
3255,rate_change,177.5
3335,rate_change,187.5
3415,rate_change,197.5
3475,rate_change,98.75
3475,worsening,0
3495,rate_change,108.75
3577,rate_change,118.75
3600,recovered,
3655,rate_change,128.75
3736,rate_change,138.75
3815,rate_change,148.75
3894,rate_change,158.75
3978,rate_change,168.75
4056,rate_change,178.75
4135,rate_change,188.75
4215,rate_change,198.75
4250,rate_change,99.375
4250,worsening,0
4297,rate_change,109.375
4375,rate_change,119.375
4375,recovered,
4455,rate_change,129.375
4538,rate_change,139.375
4614,rate_change,149.375
4695,rate_change,159.375
4775,rate_change,169.375
4855,rate_change,179.375
4935,rate_change,189.375
5015,rate_change,199.375
5075,rate_change,99.6875
5075,worsening,0
5094,rate_change,109.6875
5178,rate_change,119.6875
5226,recovered,
5255,rate_change,129.6875
5335,rate_change,139.6875
5415,rate_change,149.6875
5495,rate_change,159.6875
5579,rate_change,169.6875
5655,rate_change,179.6875
5735,rate_change,189.6875
5815,rate_change,199.6875
5895,rate_change,209.6875
5975,rate_change,219.6875
6055,rate_change,229.6875
6135,rate_change,239.6875
6215,rate_change,249.6875
6295,rate_change,259.6875
6375,rate_change,269.6875
6457,rate_change,279.6875
6535,rate_change,289.6875
6615,rate_change,299.6875
6694,rate_change,309.6875
6778,rate_change,319.6875
6862,rate_change,329.6875
6970,rate_change,339.6875
7015,rate_change,349.6875
7095,rate_change,359.6875
7175,rate_change,369.6875
7256,rate_change,379.6875
7335,rate_change,389.6875
7415,rate_change,399.6875
7495,rate_change,400.0
