elapsed_ms,kind,detail
361,rate_change,50.0
619,worsening,0
686,rate_change,60.0
706,rate_change,70.0
726,recovered,
785,rate_change,80.0
899,rate_change,90.0
950,rate_change,100.0
1025,rate_change,110.0
1067,worsening,0
1069,rate_change,55.0
1105,rate_change,65.0
1192,recovered,
1206,rate_change,75.0
1266,rate_change,85.0
1350,rate_change,95.0
1428,rate_change,105.0
1467,worsening,0
1468,rate_change,52.5
1506,rate_change,62.5
1603,rate_change,72.5
1618,recovered,
1664,rate_change,82.5
1744,rate_change,92.5
1824,rate_change,102.5
1867,worsening,0
1868,rate_change,51.25
1904,rate_change,61.25
1985,rate_change,71.25
1995,recovered,
2064,rate_change,81.25
2144,rate_change,91.25
2224,rate_change,101.25
2304,rate_change,111.25
2387,rate_change,121.25
2464,rate_change,131.25
2544,rate_change,141.25
2624,rate_change,151.25
2705,rate_change,161.25
2784,rate_change,171.25
2871,rate_change,181.25
2949,rate_change,191.25
2971,worsening,0
2972,rate_change,95.625
3030,rate_change,105.625
3104,rate_change,115.625
3191,rate_change,125.625
3264,rate_change,135.625
3346,rate_change,145.625
3424,rate_change,155.625
3504,rate_change,165.625
3588,rate_change,175.625
3664,rate_change,185.625
3744,rate_change,195.625
3825,rate_change,205.625
3869,worsening,1
3870,rate_change,102.8125
3905,rate_change,112.8125
3984,rate_change,122.8125
4017,recovering,1
4070,rate_change,132.8125
4148,rate_change,142.8125
4226,rate_change,152.8125
4311,rate_change,162.8125
4384,rate_change,172.8125
4470,rate_change,182.8125
4493,recovered,
4544,rate_change,192.8125
4624,rate_change,202.8125
4711,rate_change,212.8125
4784,rate_change,222.8125
4866,rate_change,232.8125
4946,rate_change,242.8125
5024,rate_change,252.8125
5104,rate_change,262.8125
5184,rate_change,272.8125
5217,worsening,0
5219,rate_change,136.40625
5265,rate_change,146.40625
5350,rate_change,156.40625
5425,rate_change,166.40625
5504,rate_change,176.40625
5588,rate_change,186.40625
5664,rate_change,196.40625
5742,worsening,1
5747,rate_change,98.203125
5760,rate_change,108.203125
5824,rate_change,118.203125
5842,recovering,1
5904,rate_change,128.203125
5984,rate_change,138.203125
6064,rate_change,148.203125
6144,rate_change,158.203125
6224,rate_change,168.203125
6305,rate_change,178.203125
6384,rate_change,188.203125
6464,rate_change,198.203125
6544,rate_change,208.203125
6567,worsening,1
6568,rate_change,104.1015625
6624,rate_change,114.1015625
6667,recovering,1
6713,rate_change,124.1015625
6742,recovered,
6794,rate_change,134.1015625
6877,rate_change,144.1015625
6975,rate_change,154.1015625
7024,rate_change,164.1015625
7104,rate_change,174.1015625
7184,rate_change,184.1015625
7289,rate_change,194.1015625
7344,rate_change,204.1015625
7424,rate_change,214.1015625
7504,rate_change,224.1015625
7570,rate_change,112.05078125
7570,worsening,0
7584,rate_change,122.05078125
7664,rate_change,132.05078125
7747,rate_change,142.05078125
7824,rate_change,152.05078125
7950,rate_change,162.05078125
7984,rate_change,172.05078125
8064,rate_change,182.05078125
8144,rate_change,192.05078125
8224,rate_change,202.05078125
8304,rate_change,212.05078125
8318,rate_change,106.025390625
8318,worsening,1
8384,rate_change,116.025390625
8419,recovering,1
8464,rate_change,126.025390625
8544,rate_change,136.025390625
8624,rate_change,146.025390625
8704,rate_change,156.025390625
8784,rate_change,166.025390625
8864,rate_change,176.025390625
8944,rate_change,186.025390625
9024,rate_change,196.025390625
9068,recovered,
9104,rate_change,206.025390625
9184,rate_change,216.025390625
9264,rate_change,226.025390625
9344,rate_change,236.025390625
9424,rate_change,246.025390625
9504,rate_change,256.025390625
9584,rate_change,266.025390625
9664,rate_change,276.025390625
9744,rate_change,286.025390625
9826,rate_change,296.025390625
9843,worsening,0
9844,rate_change,148.0126953125
9904,rate_change,158.0126953125
9984,rate_change,168.0126953125
10064,rate_change,178.0126953125
10145,rate_change,188.0126953125
10224,rate_change,198.0126953125
10304,rate_change,208.0126953125
10384,rate_change,218.0126953125
10418,worsening,1
10419,rate_change,109.00634765625
10464,rate_change,119.00634765625
10544,rate_change,129.00634765625
10568,recovering,1
10624,rate_change,139.00634765625
10705,rate_change,149.00634765625
10784,rate_change,159.00634765625
10886,rate_change,169.00634765625
10945,rate_change,179.00634765625
11024,rate_change,189.00634765625
11104,rate_change,199.00634765625
11184,rate_change,209.00634765625
11246,worsening,1
11252,rate_change,104.503173828125
11264,rate_change,114.503173828125
11345,rate_change,124.503173828125
11373,recovering,1
11374,recovered,
11424,rate_change,134.503173828125
11506,rate_change,144.503173828125
11584,rate_change,154.503173828125
11664,rate_change,164.503173828125
11744,rate_change,174.503173828125
11825,rate_change,184.503173828125
11905,rate_change,194.503173828125
11986,rate_change,204.503173828125
12065,rate_change,214.503173828125
12145,rate_change,224.503173828125
12225,rate_change,234.503173828125
