elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio
367,50.0,10.889771454651342,60.0,0.0
452,50.0,470.61199843173256,60.0,0.0
527,50.0,53.15797085765748,60.0,0.0
582,50.0,54.4671792669738,60.0,0.0
634,50.0,57.80704132925982,60.0,0.6153846153846154
698,50.0,31.23946497855262,60.0,0.6153846153846154
749,60.0,58.4765866764138,60.0,0.0
801,60.0,58.06821563631877,60.0,0.0
852,70.0,58.8784641733181,60.0,0.0
910,80.0,69.26746726813455,60.0,0.0
962,90.0,77.13117088896837,60.0,0.0
1014,100.0,76.50389882038064,60.0,0.0
1084,100.0,100.40784663223549,60.0,0.0
1146,110.0,95.57691388070849,60.0,0.25
1197,120.0,97.8442466359925,60.0,0.29411764705882354
1248,70.0,79.75694072314622,60.0,0.3181818181818182
1298,70.0,79.08231458671908,60.0,0.3333333333333333
1348,80.0,59.73557093755357,60.0,0.25
1399,90.0,79.1503870810105,60.0,0.18181818181818182
1451,90.0,96.12804132060012,60.0,0.16666666666666666
1501,100.0,79.48961151260762,60.0,0.25
1551,110.0,99.84490691229685,60.0,0.4444444444444444
1602,110.0,97.97134075719659,60.0,0.3333333333333333
1653,120.0,99.27471481749774,60.0,0.36363636363636365
1703,120.0,119.68105000174536,60.0,0.46153846153846156
1753,130.0,119.43873825872413,60.0,0.42857142857142855
1803,140.0,119.50326317602149,60.0,0.5333333333333333
1854,140.0,139.43285685474333,60.0,0.5263157894736842
1904,150.0,139.24136846735195,60.0,0.5652173913043478
1954,160.0,159.41547446807738,60.0,0.5333333333333333
2004,160.0,159.89779972232947,60.0,0.6
2055,170.0,138.70003393197257,60.0,0.5652173913043478
2106,170.0,174.1891947810285,500.0,0.48148148148148145
2157,180.0,177.5715597601695,500.0,0.2
2207,190.0,158.75220764788762,500.0,0.0
2258,190.0,198.90717217094527,500.0,0.0
2308,200.0,199.31816445032177,500.0,0.0
2359,210.0,196.13820352861256,500.0,0.0
2410,210.0,215.63976397247652,500.0,0.0
2462,220.0,192.0656083826036,500.0,0.0
2513,230.0,215.7943493974963,500.0,0.0
2563,230.0,237.07723128644213,500.0,0.0
2614,240.0,218.21770687906525,500.0,0.0
2664,240.0,237.95890747116607,500.0,0.0
2714,250.0,238.99740588232368,500.0,0.0
2765,260.0,258.7225573729709,500.0,0.0
2816,260.0,255.13333169786327,500.0,0.0
2867,270.0,254.9007112710232,60.0,0.0
2918,280.0,255.28405093058205,60.0,0.1282051282051282
2968,140.0,219.8484892151725,60.0,0.41935483870967744
3018,150.0,138.7895249518088,60.0,0.5161290322580645
3070,150.0,135.08558636793455,60.0,0.6666666666666666
3120,160.0,158.9548717184512,60.0,0.5555555555555556
3171,170.0,158.8279797484002,60.0,0.6086956521739131
3221,170.0,157.75592200941605,60.0,0.5925925925925926
3272,180.0,178.9181428225208,60.0,0.64
3324,190.0,172.0728877044496,60.0,0.64
3377,190.0,186.54773328367682,60.0,0.6538461538461539
3434,200.0,195.77700109679617,60.0,0.6842105263157895
3485,110.0,98.03713383890299,60.0,0.6470588235294118
3535,110.0,118.7246009740364,60.0,0.2857142857142857
3585,120.0,99.60961200083855,60.0,0.4166666666666667
3636,130.0,99.29517110106985,60.0,0.38461538461538464
3686,130.0,139.0578828437337,60.0,0.42857142857142855
3737,140.0,118.82835244489334,60.0,0.4444444444444444
3787,140.0,138.77450455420257,60.0,0.5263157894736842
3837,150.0,139.47232875971025,60.0,0.5714285714285714
3887,160.0,139.9506673897451,60.0,0.5714285714285714
3937,160.0,159.44010057640983,60.0,0.5789473684210527
3988,170.0,157.7386834719357,60.0,0.6
4040,170.0,173.8496345535807,60.0,0.6153846153846154
4095,180.0,162.03674280365118,60.0,0.6666666666666666
4145,190.0,179.62981169885853,60.0,0.6666666666666666
4196,200.0,199.72737213703294,60.0,0.6521739130434783
4246,200.0,179.54202062295457,60.0,0.6785714285714286
4296,105.0,199.4551523494301,60.0,0.7058823529411765
4346,105.0,99.8778992681447,60.0,0.6538461538461539
4396,115.0,119.36230687551755,500.0,0.2727272727272727
4446,125.0,99.36382312245846,500.0,0.0
4497,125.0,139.57766311539217,500.0,0.0
4547,135.0,99.51354396250632,500.0,0.0
4597,145.0,119.70462882836601,500.0,0.0
4647,145.0,159.59529187505157,500.0,0.0
4697,155.0,139.49595647056577,500.0,0.0
4747,155.0,139.833131530819,500.0,0.0
4798,165.0,159.3482655937217,500.0,0.0
4848,175.0,178.91547522047506,500.0,0.0
4898,175.0,159.09119156816683,500.0,0.0
4948,185.0,159.5276641109936,500.0,0.0
4999,195.0,178.63183023116667,500.0,0.0
5049,195.0,199.71939425107726,500.0,0.0
5099,205.0,179.0415298167707,500.0,0.0
5149,205.0,199.6001330694167,500.0,0.0
5199,215.0,219.26436804520833,60.0,0.0
5249,225.0,219.4322191329934,60.0,0.25925925925925924
5300,112.5,119.65986682853988,60.0,0.4583333333333333
5350,122.5,119.50405815864163,60.0,0.631578947368421
5400,132.5,119.77791258560029,60.0,0.5
5450,132.5,119.65230953286701,60.0,0.5333333333333333
5500,142.5,139.60584801717616,60.0,0.5
5550,142.5,139.7404321472864,60.0,0.5384615384615384
5601,152.5,139.18345520700615,60.0,0.6111111111111112
5651,162.5,159.62461717277947,60.0,0.6111111111111112
5701,162.5,159.598475770717,60.0,0.6153846153846154
5751,172.5,139.64924856834082,60.0,0.65
5801,182.5,158.74000124015626,60.0,0.625
5851,182.5,199.65908211728473,60.0,0.625
5901,192.5,159.85932379506036,60.0,0.6666666666666666
5952,202.5,199.50721717358124,60.0,0.6666666666666666
6040,202.5,101.66820581033797,60.0,0.6521739130434783
6090,212.5,359.26350980489997,60.0,0.72
6140,116.25,139.71254144597492,60.0,0.6875
6190,126.25,119.9044768994333,60.0,0.7333333333333333
6241,126.25,119.42615731410572,60.0,0.5263157894736842
6291,136.25,119.90537307767455,60.0,0.47619047619047616
6341,136.25,139.66817355989292,60.0,0.5263157894736842
6391,146.25,119.64555005795332,60.0,0.5384615384615384
6441,156.25,139.40531921308803,60.0,0.5384615384615384
6491,156.25,159.2968382683892,60.0,0.6111111111111112
6542,166.25,159.1166353578167,60.0,0.6111111111111112
6592,176.25,159.4672486264438,60.0,0.65
6642,176.25,159.88794413323365,60.0,0.6666666666666666
6692,186.25,179.4675807070197,500.0,0.5238095238095238
6742,186.25,178.236937252518,500.0,0.23809523809523808
6796,196.25,167.48899108818992,500.0,0.2
6846,206.25,199.37032471604283,500.0,0.0
6897,206.25,195.82740751438718,500.0,0.0
6955,216.25,207.50221132512831,500.0,0.0
7007,226.25,191.90757976600173,500.0,0.0
7057,226.25,239.39075053987602,500.0,0.0
7108,236.25,217.96529398069026,500.0,0.0
7158,246.25,219.54590442404358,500.0,0.0
7221,246.25,205.11944041901924,500.0,0.0
7274,256.25,303.1078021842706,500.0,0.0
7324,266.25,239.74606576206614,500.0,0.0
7375,266.25,278.3445458137726,500.0,0.0
7425,276.25,259.4212778250024,500.0,0.0
7475,286.25,279.47458777498304,60.0,0.0
7525,286.25,279.426705816211,60.0,0.14285714285714285
7575,153.125,159.76062745666914,60.0,0.3870967741935484
7625,153.125,159.81661043952064,60.0,0.5161290322580645
7675,163.125,159.7719255762399,60.0,0.5555555555555556
7726,173.125,158.53696696626653,60.0,0.5833333333333334
7776,173.125,158.347902494983,60.0,0.6190476190476191
7826,183.125,159.51573892944322,60.0,0.6190476190476191
7876,193.125,179.24299588575585,60.0,0.6363636363636364
7926,193.125,199.56876383236047,60.0,0.6190476190476191
7977,203.125,179.78740139784705,60.0,0.6363636363636364
8027,203.125,199.8153386566271,60.0,0.6521739130434783
8077,213.125,199.80336152372283,60.0,0.68
8127,116.5625,119.46231921518354,60.0,0.6956521739130435
8177,116.5625,119.55833239081514,60.0,0.625
8227,126.5625,119.48848889718936,60.0,0.5263157894736842
8278,136.5625,119.44081869674022,60.0,0.45
8328,136.5625,138.7652198932154,60.0,0.5833333333333334
8378,146.5625,119.77203309852226,60.0,0.5833333333333334
8428,146.5625,159.5175932751211,60.0,0.5294117647058824
8478,156.5625,139.64263216147762,60.0,0.5238095238095238
8529,166.5625,139.446050564134,60.0,0.5833333333333334
8579,166.5625,179.13968167873787,60.0,0.6086956521739131
8629,176.5625,159.83842892250797,60.0,0.625
8679,186.5625,178.99049361600572,60.0,0.6470588235294118
8730,186.5625,178.2435594462472,60.0,0.6666666666666666
8780,196.5625,199.31783471070264,60.0,0.6666666666666666
8830,196.5625,199.072980831621,60.0,0.6666666666666666
8880,206.5625,199.13790016810825,60.0,0.7
8930,216.5625,199.51600609178232,60.0,0.7368421052631579
8980,216.5625,219.69590571514533,500.0,0.7
9031,226.5625,199.1853319921521,500.0,0.38461538461538464
9081,236.5625,239.1965006827665,500.0,0.1111111111111111
9131,236.5625,219.65568970638523,500.0,0.0
9181,246.5625,238.60910457976573,500.0,0.0
9231,256.5625,239.39552629610236,500.0,0.0
9281,256.5625,239.75604822093518,500.0,0.0
9332,266.5625,257.9435450867955,500.0,0.0
9382,266.5625,277.1522605231249,500.0,0.0
9433,276.5625,258.2790043447694,500.0,0.0
9483,286.5625,278.92613438262686,500.0,0.0
9533,286.5625,279.59062899284123,500.0,0.0
9583,296.5625,278.3445458137726,500.0,0.0
9633,306.5625,298.3889503150172,500.0,0.0
9684,306.5625,319.18129996558827,500.0,0.0
9734,316.5625,295.8774390434779,500.0,0.0
9784,316.5625,318.26149657495927,60.0,0.0
9835,326.5625,316.68144447432246,60.0,0.1794871794871795
9886,173.28125,237.21626710551675,60.0,0.5
9936,173.28125,179.00265805024776,60.0,0.6153846153846154
9986,96.640625,79.74899005380566,60.0,0.7368421052631579
10036,106.640625,79.9041150619257,60.0,0.5769230769230769
10086,106.640625,99.39139270936703,60.0,0.4666666666666667
10137,116.640625,99.28736493815639,60.0,0.4444444444444444
10187,116.640625,119.88361219393764,60.0,0.4
10237,126.640625,119.48353243106672,60.0,0.42857142857142855
10287,136.640625,139.22959808035003,60.0,0.5
10338,136.640625,139.26064019429327,60.0,0.5833333333333334
10388,146.640625,119.66851820457333,60.0,0.5555555555555556
10438,156.640625,139.62963240005885,60.0,0.5217391304347826
10488,156.640625,139.81858538546237,60.0,0.5294117647058824
10538,166.640625,159.6722726603646,60.0,0.5909090909090909
10588,166.640625,159.24649970719545,60.0,0.6
10638,176.640625,179.65655774482153,60.0,0.6
10689,186.640625,179.38262241608302,60.0,0.6363636363636364
10739,186.640625,178.5146120457971,60.0,0.6363636363636364
10801,196.640625,176.8942584980243,60.0,0.6521739130434783
10853,196.640625,210.70425502876833,60.0,0.7083333333333334
10911,103.3203125,122.34651812820594,60.0,0.64
10961,113.3203125,99.7950887483712,60.0,0.5625
11011,123.3203125,118.41715577228175,60.0,0.5
11062,123.3203125,119.1208878476841,60.0,0.42857142857142855
11112,133.3203125,99.57324698659988,60.0,0.5384615384615384
11163,143.3203125,138.11507452048173,60.0,0.4666666666666667
11213,143.3203125,139.65296238846466,60.0,0.5
11263,153.3203125,158.2744132099782,500.0,0.5882352941176471
11314,163.3203125,138.84377843508184,500.0,0.42105263157894735
11364,163.3203125,159.879690532874,500.0,0.2222222222222222
11414,173.3203125,159.67134208972305,500.0,0.0
11464,173.3203125,179.78710330375182,500.0,0.0
11514,183.3203125,159.36982303315875,500.0,0.0
11564,193.3203125,178.5175616056171,500.0,0.0
11615,193.3203125,199.79703817673857,500.0,0.0
11665,203.3203125,179.15855318957665,500.0,0.0
11715,213.3203125,199.70842569848023,500.0,0.0
11765,213.3203125,219.41179209129,500.0,0.0
11815,223.3203125,199.68217387113629,500.0,0.0
11865,223.3203125,218.5848467287029,500.0,0.0
11915,233.3203125,219.45319286839367,500.0,0.0
11966,243.3203125,239.5404846973953,500.0,0.0
12016,243.3203125,238.10094495915698,500.0,0.0
12066,253.3203125,238.57807467493737,500.0,0.0
12117,263.3203125,258.4899893687044,500.0,0.0
12167,263.3203125,259.50564175246154,500.0,0.0
12217,273.3203125,257.63192974401056,500.0,0.0
12267,273.3203125,278.8992793700813,500.0,0.0
