elapsed_ms,kind,detail
296,rate_change,50.0
588,worsening,0
724,rate_change,60.0
724,recovered,
778,rate_change,70.0
827,rate_change,80.0
841,rate_change,90.0
906,rate_change,100.0
1007,rate_change,110.0
1088,rate_change,120.0
1144,rate_change,130.0
1236,rate_change,140.0
1298,rate_change,150.0
1380,rate_change,160.0
1456,rate_change,170.0
1537,rate_change,180.0
1617,rate_change,190.0
1701,rate_change,200.0
1776,rate_change,210.0
1866,rate_change,220.0
1871,worsening,0
1872,rate_change,110.0
1937,rate_change,120.0
1946,worsening,1
1947,rate_change,60.0
2016,rate_change,70.0
2050,recovering,1
2097,rate_change,80.0
2177,rate_change,90.0
2256,rate_change,100.0
2336,rate_change,110.0
2417,rate_change,120.0
2500,rate_change,130.0
2577,rate_change,140.0
2656,rate_change,150.0
2721,worsening,1
2724,rate_change,75.0
2741,rate_change,85.0
2818,rate_change,95.0
2846,recovering,1
2897,rate_change,105.0
2977,rate_change,115.0
3067,rate_change,125.0
3136,rate_change,135.0
3218,rate_change,145.0
3297,rate_change,155.0
3377,rate_change,165.0
3456,rate_change,175.0
3496,worsening,1
3497,rate_change,87.5
3537,rate_change,97.5
3597,recovering,1
3616,rate_change,107.5
3697,rate_change,117.5
3777,rate_change,127.5
3857,rate_change,137.5
3940,rate_change,147.5
4017,rate_change,157.5
4097,rate_change,167.5
4146,worsening,1
4147,rate_change,83.75
4179,rate_change,93.75
4256,rate_change,103.75
4337,rate_change,113.75
4416,rate_change,123.75
4496,rate_change,133.75
4521,recovering,1
4576,rate_change,143.75
4657,rate_change,153.75
4738,rate_change,163.75
4817,rate_change,173.75
4822,rate_change,86.875
4822,worsening,1
4896,rate_change,96.875
4976,rate_change,106.875
4996,recovering,1
5064,rate_change,116.875
5137,rate_change,126.875
5218,rate_change,136.875
5296,rate_change,146.875
5376,rate_change,156.875
5421,worsening,1
5422,rate_change,78.4375
5457,rate_change,88.4375
5521,recovering,1
5541,rate_change,98.4375
5596,recovered,
5616,rate_change,108.4375
5646,rate_change,54.21875
5646,worsening,0
5696,rate_change,64.21875
5777,rate_change,74.21875
5796,recovered,
5857,rate_change,84.21875
5936,rate_change,94.21875
6016,rate_change,104.21875
6046,rate_change,52.109375
6046,worsening,0
6096,rate_change,62.109375
6176,rate_change,72.109375
6258,rate_change,82.109375
6321,recovered,
6336,rate_change,92.109375
6416,rate_change,102.109375
6472,worsening,0
6474,rate_change,51.0546875
6498,rate_change,61.0546875
6571,recovered,
6577,rate_change,71.0546875
6657,rate_change,81.0546875
6737,rate_change,91.0546875
6820,rate_change,101.0546875
6896,rate_change,111.0546875
6978,rate_change,121.0546875
7056,rate_change,131.0546875
7136,rate_change,141.0546875
7222,rate_change,151.0546875
7296,rate_change,161.0546875
7377,rate_change,171.0546875
7456,rate_change,181.0546875
7536,rate_change,191.0546875
7616,rate_change,201.0546875
7696,rate_change,211.0546875
7786,rate_change,221.0546875
7856,rate_change,231.0546875
7936,rate_change,241.0546875
8016,rate_change,251.0546875
8096,rate_change,261.0546875
8176,rate_change,271.0546875
8256,rate_change,281.0546875
8336,rate_change,291.0546875
8416,rate_change,301.0546875
8496,rate_change,311.0546875
8576,rate_change,321.0546875
8656,rate_change,331.0546875
8736,rate_change,341.0546875
8816,rate_change,351.0546875
8898,rate_change,361.0546875
8976,rate_change,371.0546875
9057,rate_change,381.0546875
9137,rate_change,391.0546875
9216,rate_change,400.0
