elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio
367,50.0,10.889068634139884,500.0,0.0
562,50.0,240.59965624964005,500.0,0.0
613,50.0,39.00438042594811,500.0,0.0
703,50.0,55.749724412387316,500.0,0.37037037037037035
761,60.0,51.72718537573154,500.0,0.0
812,70.0,58.486848150186745,500.0,0.0
866,80.0,74.60163890475468,500.0,0.0
920,90.0,55.81399606276909,500.0,0.0
999,90.0,88.24182920370396,500.0,0.0
1049,110.0,79.86821744122199,500.0,0.0
1099,110.0,99.81127285283894,500.0,0.0
1153,120.0,112.58496717106796,500.0,0.0
1204,120.0,116.97150936643513,500.0,0.0
1254,130.0,119.59775448040098,500.0,0.0
1304,140.0,119.65519202624182,500.0,0.0
1354,140.0,139.28050199717296,500.0,0.0
1405,150.0,139.06916280979866,500.0,0.0
1455,160.0,139.8927498244196,500.0,0.0
1506,160.0,156.46761222130968,500.0,0.0
1556,170.0,159.69431952134502,80.0,0.0
1606,180.0,159.58428294293364,80.0,0.0
1656,180.0,178.9382982375353,80.0,0.14285714285714285
1707,190.0,179.6499807564929,80.0,0.28
1757,95.0,99.10524612431097,80.0,0.5416666666666666
1807,105.0,99.6356642592166,80.0,0.5833333333333334
1858,115.0,99.05133583107785,80.0,0.4444444444444444
1908,115.0,119.57193248171545,80.0,0.4666666666666667
1958,125.0,119.38071255362804,80.0,0.5
2008,135.0,119.64565026344077,80.0,0.4166666666666667
2058,135.0,139.7002256677531,80.0,0.3888888888888889
2108,145.0,119.9378338219734,80.0,0.4666666666666667
2159,145.0,138.90220861853678,80.0,0.5
2209,155.0,138.6470350915844,80.0,0.5625
2259,165.0,159.68767964240178,80.0,0.5714285714285714
2309,165.0,159.88767890556883,80.0,0.631578947368421
2367,87.5,121.9230752483094,80.0,0.7
2417,97.5,79.15488858415137,80.0,0.6363636363636364
2469,97.5,95.95938998615786,80.0,0.5
2520,107.5,79.18864737297304,80.0,0.3333333333333333
2570,117.5,99.74987718296371,80.0,0.25
2620,117.5,119.76007984165003,80.0,0.23076923076923078
2670,127.5,119.81279251170047,80.0,0.42857142857142855
2720,127.5,119.57471339983933,80.0,0.5
2771,137.5,139.82254002864644,80.0,0.5
2821,147.5,119.3390620856697,80.0,0.4375
2871,147.5,139.69790328414803,80.0,0.4117647058823529
2921,157.5,139.86759014975704,80.0,0.4117647058823529
2971,167.5,139.50093540359364,80.0,0.4444444444444444
3021,167.5,179.293286823061,80.0,0.4782608695652174
3071,177.5,159.5814975227466,80.0,0.5714285714285714
3122,177.5,177.5801753280641,80.0,0.6666666666666666
3172,187.5,159.46022713116102,80.0,0.68
3222,197.5,199.55150798580192,80.0,0.6363636363636364
3273,197.5,198.07732677375176,80.0,0.6296296296296297
3324,207.5,194.74481126793478,80.0,0.6206896551724138
3378,217.5,186.68297031274062,80.0,0.6666666666666666
3434,217.5,215.20288978744463,80.0,0.6774193548387096
3485,227.5,235.52040195481933,80.0,0.6923076923076923
3535,237.5,217.48747593426936,80.0,0.6785714285714286
3585,237.5,239.30243340661968,80.0,0.6785714285714286
3636,128.75,118.2595155794593,80.0,0.7
3686,138.75,139.91453460568147,80.0,0.6666666666666666
3737,138.75,138.67484811290572,80.0,0.5
3787,148.75,139.75042809548995,80.0,0.5882352941176471
3837,148.75,139.091040053252,80.0,0.5555555555555556
3887,158.75,139.38369270133023,80.0,0.5238095238095238
3937,168.75,159.37273441697232,80.0,0.6
3988,168.75,157.93928715089865,80.0,0.5333333333333333
4046,168.75,172.518270763113,80.0,0.65
4096,188.75,179.78186347377272,80.0,0.6818181818181818
4146,188.75,179.80072326239383,80.0,0.6153846153846154
4196,198.75,199.70842569848023,80.0,0.625
4246,208.75,179.94406618646659,80.0,0.6551724137931034
4296,208.75,199.8379633857683,80.0,0.7241379310344828
4346,218.75,199.8432908850196,80.0,0.7241379310344828
4396,218.75,219.7008421512763,80.0,0.7
4447,228.75,238.0426939490043,80.0,0.7037037037037037
4497,238.75,219.23760124168206,80.0,0.7352941176470589
4547,238.75,238.4088166441301,80.0,0.8333333333333334
4597,248.75,239.76583030417513,80.0,0.8285714285714286
4647,258.75,219.87174001917722,80.0,0.8055555555555556
4698,258.75,258.98521305996286,80.0,0.75
4748,268.75,259.39021510671853,80.0,0.7083333333333334
4798,268.75,258.23774431475704,80.0,0.6923076923076923
4849,278.75,276.32124136449244,80.0,0.7307692307692307
4899,288.75,279.17179221091953,80.0,0.775
4949,288.75,279.4471585084364,80.0,0.8
4999,298.75,299.7881517047163,80.0,0.813953488372093
5049,308.75,299.7996319140066,80.0,0.8181818181818182
5099,308.75,299.7998835777119,80.0,0.8333333333333334
5149,318.75,299.46545416431667,80.0,0.7741935483870968
5199,318.75,319.01928367888576,80.0,0.7872340425531915
5249,328.75,318.94747333798466,80.0,0.775
5300,338.75,339.1416866537492,80.0,0.7659574468085106
5350,338.75,338.45382784012486,80.0,0.7708333333333334
5400,348.75,319.2579933421938,80.0,0.8292682926829268
5450,358.75,319.1072973357034,80.0,0.8235294117647058
5500,358.75,379.0574130931578,80.0,0.8235294117647058
5550,368.75,339.4018043198862,80.0,0.8409090909090909
5601,368.75,358.0566475454471,80.0,0.8666666666666667
5651,378.75,378.95471405403623,80.0,0.8666666666666667
5701,388.75,359.31729713544263,80.0,0.8478260869565217
5751,388.75,399.18898370935705,80.0,0.8297872340425532
5801,398.75,376.5856187026213,80.0,0.8245614035087719
5851,400.0,379.4346423828496,80.0,0.8448275862068966
5901,400.0,399.5189153029488,80.0,0.8163265306122449
5952,400.0,398.6565275023172,80.0,0.8367346938775511
6040,400.0,146.94606569599145,80.0,0.8305084745762712
6090,400.0,578.9626841380834,80.0,0.65
6140,400.0,678.1013163143199,80.0,0.855072463768116
6190,400.0,399.68392196083494,80.0,0.9113924050632911
6241,400.0,398.4133189572528,80.0,0.85
6291,400.0,399.70953907214704,80.0,0.875
6341,400.0,398.8605909043871,80.0,0.864406779661017
6391,400.0,399.12657535009834,80.0,0.8857142857142857
6441,400.0,398.05153772284666,80.0,0.84
6491,400.0,398.1846126414297,80.0,0.8524590163934426
6542,400.0,397.8361057669566,80.0,0.8627450980392157
6592,400.0,398.7830417671002,500.0,0.725
6642,400.0,399.58476749301195,500.0,0.46
6692,400.0,418.9728210934381,500.0,0.22
6742,400.0,395.9768749505029,500.0,0.18571428571428572
6798,400.0,392.7817427904465,500.0,0.1694915254237288
6849,400.0,399.18300013727907,500.0,0.18
6899,400.0,399.6795928575898,500.0,0.19607843137254902
6958,400.0,402.5092561196249,500.0,0.28125
7008,400.0,399.7817831115064,500.0,0.22448979591836735
7058,400.0,399.53454225826914,500.0,0.15
7108,400.0,398.91031265533195,500.0,0.17142857142857143
7159,400.0,398.6154729332421,500.0,0.17142857142857143
7224,400.0,275.63835622882505,500.0,0.24
7274,400.0,556.3899528135616,500.0,0.22
7324,400.0,399.78877559830045,500.0,0.25
7375,400.0,417.5168187206589,500.0,0.2714285714285714
7425,400.0,399.15944206371336,500.0,0.26
7475,400.0,399.3550416078034,500.0,0.22448979591836735
7525,400.0,399.0250461437551,500.0,0.2
7575,400.0,399.4025576781228,500.0,0.13725490196078433
7625,400.0,399.53487747703633,500.0,0.16393442622950818
7675,400.0,399.4361319899151,500.0,0.15
7725,400.0,396.5513200658101,500.0,0.21666666666666667
7776,400.0,395.7287727227956,500.0,0.225
7826,400.0,398.7456101098919,500.0,0.1935483870967742
7876,400.0,398.45201392589786,500.0,0.17647058823529413
7926,400.0,399.1388579140504,500.0,0.16666666666666666
7977,400.0,399.6343345838558,500.0,0.16
8027,400.0,399.55017043611616,500.0,0.16
8077,400.0,399.41951562954523,500.0,0.2
8127,400.0,398.2073977218236,500.0,0.21666666666666667
8177,400.0,398.4745120560057,500.0,0.21666666666666667
8227,400.0,398.30686126187356,500.0,0.17647058823529413
8278,400.0,417.8186357537116,500.0,0.18333333333333332
8328,400.0,376.7919331940763,500.0,0.18
8378,400.0,419.26383977956147,500.0,0.175
8428,400.0,398.44275819927464,500.0,0.23333333333333334
8478,400.0,399.37597503900156,500.0,0.2
8529,400.0,398.47880715369075,500.0,0.24
8579,400.0,398.02678222710915,500.0,0.26
8629,400.0,399.3819564224363,500.0,0.16
8679,400.0,397.9690287368859,500.0,0.16
8730,400.0,396.0634618821989,500.0,0.2
8780,400.0,418.6147285127003,500.0,0.26
8830,400.0,378.2276931110663,500.0,0.28
8880,400.0,418.18993179063335,500.0,0.22
8930,400.0,399.03201218356463,500.0,0.22
8980,400.0,399.29258929125626,500.0,0.2
9031,400.0,398.33495986775284,500.0,0.21428571428571427
9081,400.0,398.85097415960206,500.0,0.21428571428571427
9131,400.0,399.46538748262424,500.0,0.1836734693877551
9181,400.0,397.9040404668409,500.0,0.225
9231,400.0,398.6611602789887,500.0,0.22
9281,400.0,399.56381216880783,500.0,0.24
9332,400.0,396.6086627819377,500.0,0.23333333333333334
9382,400.0,416.0997555176165,500.0,0.23728813559322035
9432,400.0,398.1215351980444,500.0,0.22
9483,400.0,397.57610570785306,500.0,0.21666666666666667
9533,400.0,399.4530848143955,500.0,0.19672131147540983
9583,400.0,397.6347334098688,500.0,0.16666666666666666
9633,400.0,397.3039667960361,500.0,0.15
9684,400.0,399.35038471618986,500.0,0.18
9734,400.0,394.6777702679369,500.0,0.26666666666666666
9785,400.0,414.56573962397226,500.0,0.22
9835,400.0,378.9263727510296,500.0,0.19607843137254902
