elapsed_ms,target_failure_ratio,observed_failure_ratio,rps
224,0.0,0.0,2.0
248,0.0,0.0,2.0
265,0.0,0.0,2.0
281,0.0,0.0,2.0
299,0.0,0.0,2.0
315,0.0,0.0,2.0
331,0.0,0.0,2.0
349,0.0,0.0,2.0
365,0.0,0.0,2.0
383,0.0,0.0,2.0
401,0.0,0.0,2.0
419,0.0,0.0,2.0
437,0.0,0.0,2.0
456,0.0,0.0,2.0
488,0.0,0.0,2.0
503,0.0,0.0,4.0
520,0.0,0.0,4.0
541,0.0,0.0,4.0
565,0.0,0.0,4.0
583,0.0,0.0,6.0
600,0.0,0.0,8.0
620,0.0,0.0,8.0
635,0.0,0.0,10.0
651,0.0,0.0,10.0
666,0.0,0.0,10.0
683,0.0,0.0,10.0
699,0.0,0.0,10.0
715,0.0,0.0,10.0
731,0.0,0.0,10.0
747,0.0,0.0,10.0
763,0.0,0.0,10.0
780,0.0,0.0,10.0
796,0.0,0.0,10.0
846,0.0,0.0,10.0
873,0.0,0.0,10.0
890,0.0,0.0,10.0
906,0.0,0.0,10.0
923,0.0,0.0,10.0
939,0.0,0.0,10.0
955,0.0,0.0,10.0
973,0.0,0.0,10.0
991,0.0,0.0,10.0
1007,0.0,0.0,10.0
1022,0.0,0.0,10.0
1038,0.0,0.0,10.0
1057,0.0,0.0,10.0
1073,0.0,0.0,10.0
1089,0.0,0.0,10.0
1104,0.0,0.0,10.0
1122,0.0,0.0,10.0
1138,0.0,0.0,10.0
1156,0.0,0.0,10.0
1175,0.0,0.0,10.0
1190,0.0,0.0,10.0
1206,0.0,0.0,10.0
1224,0.0,0.0,10.0
1242,0.0,0.0,10.0
1258,0.0,0.0,10.0
1273,0.0,0.0,10.0
1289,0.0,0.0,10.0
1304,0.0,0.0,10.0
1320,0.0,0.0,10.0
1337,0.0,0.0,10.0
1357,0.0,0.0,10.0
1385,0.0,0.0,10.0
1402,0.0,0.0,10.0
1420,0.0,0.0,10.0
1440,0.0,0.0,10.0
1463,0.0,0.0,10.0
1479,0.0,0.0,10.0
1499,0.0,0.0,10.0
1516,0.0,0.0,10.0
1533,0.0,0.0,10.0
1548,0.0,0.0,10.0
1565,0.0,0.0,10.0
1582,0.0,0.0,10.0
1599,0.0,0.0,10.0
1616,0.0,0.0,10.0
1632,0.0,0.0,10.0
1651,0.0,0.0,10.0
1666,0.0,0.0,10.0
1683,0.0,0.0,10.0
1700,0.0,0.0,10.0
1715,0.0,0.0,10.0
1732,0.0,0.0,10.0
1747,0.0,0.0,10.0
1764,0.0,0.0,10.0
1780,0.0,0.0,10.0
1799,0.0,0.0,10.0
1815,0.0,0.0,10.0
1831,0.0,0.0,10.0
1847,0.0,0.0,10.0
1862,0.0,0.0,10.0
1878,0.0,0.0,10.0
1894,0.0,0.0,10.0
1910,0.0,0.0,10.0
1926,0.0,0.0,10.0
