elapsed_ms,kind,detail
389,rate_change,50.0
645,worsening,0
707,rate_change,60.0
734,rate_change,50.0
751,recovered,
762,rate_change,60.0
815,rate_change,70.0
913,rate_change,80.0
1018,rate_change,90.0
1050,rate_change,100.0
1135,rate_change,110.0
1210,rate_change,120.0
1293,rate_change,130.0
1376,rate_change,140.0
1453,rate_change,150.0
1530,rate_change,160.0
1609,rate_change,170.0
1689,rate_change,180.0
1770,rate_change,190.0
1849,rate_change,200.0
1894,worsening,0
1895,rate_change,100.0
1931,rate_change,110.0
1995,recovered,
2010,rate_change,120.0
2090,rate_change,130.0
2172,rate_change,140.0
2252,rate_change,150.0
2329,rate_change,160.0
2409,rate_change,170.0
2489,rate_change,180.0
2569,rate_change,190.0
2649,rate_change,200.0
2694,worsening,0
2695,rate_change,100.0
2730,rate_change,110.0
2817,rate_change,120.0
2845,recovered,
2891,rate_change,130.0
2973,rate_change,140.0
3052,rate_change,150.0
3138,rate_change,160.0
3209,rate_change,170.0
3289,rate_change,180.0
3369,rate_change,190.0
3449,rate_change,200.0
3494,rate_change,100.0
3494,worsening,0
3529,rate_change,110.0
3609,rate_change,120.0
3620,recovered,
3689,rate_change,130.0
3769,rate_change,140.0
3849,rate_change,150.0
3929,rate_change,160.0
4047,rate_change,170.0
4094,rate_change,180.0
4169,rate_change,190.0
4249,rate_change,200.0
4294,worsening,0
4295,rate_change,100.0
4329,rate_change,110.0
4413,rate_change,120.0
4445,recovered,
4489,rate_change,130.0
4569,rate_change,140.0
4649,rate_change,150.0
4729,rate_change,160.0
4812,rate_change,170.0
4890,rate_change,180.0
4969,rate_change,190.0
5044,rate_change,95.0
5044,worsening,0
5049,rate_change,105.0
5129,rate_change,115.0
5169,recovered,
5209,rate_change,125.0
5291,rate_change,135.0
5369,rate_change,145.0
5449,rate_change,155.0
5529,rate_change,165.0
5609,rate_change,175.0
5690,rate_change,185.0
5769,rate_change,195.0
5844,worsening,0
5845,rate_change,97.5
5849,rate_change,107.5
5929,rate_change,117.5
6076,rate_change,127.5
6089,recovered,
6104,rate_change,137.5
6169,rate_change,147.5
6249,rate_change,157.5
6329,rate_change,167.5
6411,rate_change,177.5
6489,rate_change,187.5
6569,rate_change,197.5
6650,rate_change,207.5
6669,rate_change,103.75
6669,worsening,0
6733,rate_change,113.75
6769,recovered,
