elapsed_ms,kind,detail
389,rate_change,50.0
646,worsening,0
742,rate_change,60.0
743,recovered,
803,rate_change,70.0
816,rate_change,80.0
906,rate_change,90.0
1015,rate_change,100.0
1115,rate_change,110.0
1128,rate_change,120.0
1210,rate_change,130.0
1289,rate_change,140.0
1376,rate_change,150.0
1453,rate_change,160.0
1528,rate_change,170.0
1608,rate_change,180.0
1688,rate_change,190.0
1770,rate_change,200.0
1848,rate_change,210.0
1931,rate_change,220.0
2008,rate_change,230.0
2057,worsening,0
2061,rate_change,115.0
2089,rate_change,125.0
2168,rate_change,135.0
2227,recovered,
2252,rate_change,145.0
2328,rate_change,155.0
2407,rate_change,165.0
2487,rate_change,175.0
2568,rate_change,185.0
2647,rate_change,195.0
2727,rate_change,205.0
2809,rate_change,215.0
2888,rate_change,225.0
2956,worsening,0
2959,rate_change,112.5
2973,rate_change,122.5
3052,rate_change,132.5
3076,recovered,
3138,rate_change,142.5
3209,rate_change,152.5
3287,rate_change,162.5
3367,rate_change,172.5
3448,rate_change,182.5
3527,rate_change,192.5
3608,rate_change,202.5
3687,rate_change,212.5
3767,rate_change,222.5
3847,rate_change,232.5
3851,rate_change,116.25
3851,worsening,0
3927,rate_change,126.25
3951,recovered,
4047,rate_change,136.25
4094,rate_change,146.25
4167,rate_change,156.25
4247,rate_change,166.25
4327,rate_change,176.25
4413,rate_change,186.25
4488,rate_change,196.25
4567,rate_change,206.25
4647,rate_change,216.25
4651,worsening,0
4652,rate_change,108.125
4727,rate_change,118.125
4802,recovered,
4807,rate_change,128.125
4887,rate_change,138.125
4968,rate_change,148.125
5047,rate_change,158.125
5127,rate_change,168.125
5201,worsening,0
5202,rate_change,84.0625
5207,rate_change,94.0625
5288,rate_change,104.0625
5327,recovered,
5367,rate_change,114.0625
5447,rate_change,124.0625
5528,rate_change,134.0625
5608,rate_change,144.0625
5688,rate_change,154.0625
5767,rate_change,164.0625
5827,rate_change,82.03125
5827,worsening,0
5847,rate_change,92.03125
5927,rate_change,102.03125
5977,recovered,
6076,rate_change,112.03125
6095,rate_change,122.03125
6167,rate_change,132.03125
6247,rate_change,142.03125
6327,rate_change,152.03125
6408,rate_change,162.03125
6477,worsening,0
6479,rate_change,81.015625
6488,rate_change,91.015625
6567,rate_change,101.015625
6647,rate_change,111.015625
6651,recovered,
6727,rate_change,121.015625
6813,rate_change,131.015625
6892,rate_change,141.015625
6967,rate_change,151.015625
7047,rate_change,161.015625
7127,rate_change,80.5078125
7127,rate_change,90.5078125
7127,worsening,0
7239,rate_change,100.5078125
7239,recovered,
7294,rate_change,110.5078125
7367,rate_change,120.5078125
7447,rate_change,130.5078125
7527,rate_change,140.5078125
7608,rate_change,150.5078125
7688,rate_change,160.5078125
7701,worsening,0
7702,rate_change,80.25390625
7767,rate_change,90.25390625
7847,rate_change,100.25390625
7852,recovered,
7927,rate_change,110.25390625
8007,rate_change,120.25390625
8087,rate_change,130.25390625
8167,rate_change,140.25390625
8247,rate_change,150.25390625
8251,worsening,0
8252,rate_change,75.126953125
8328,rate_change,85.126953125
8377,recovered,
8408,rate_change,95.126953125
8488,rate_change,105.126953125
8567,rate_change,115.126953125
8648,rate_change,125.126953125
8727,rate_change,135.126953125
8807,rate_change,145.126953125
8852,worsening,0
8853,rate_change,72.5634765625
8887,rate_change,82.5634765625
8952,recovered,
8967,rate_change,92.5634765625
9048,rate_change,102.5634765625
9127,rate_change,112.5634765625
9207,rate_change,122.5634765625
9287,rate_change,132.5634765625
9367,rate_change,142.5634765625
9427,worsening,0
9428,rate_change,71.28173828125
9447,rate_change,81.28173828125
9527,rate_change,91.28173828125
9551,recovered,
9608,rate_change,101.28173828125
9687,rate_change,111.28173828125
9768,rate_change,121.28173828125
9847,rate_change,131.28173828125
9928,rate_change,141.28173828125
10002,rate_change,70.640869140625
10002,worsening,0
10010,rate_change,80.640869140625
10088,rate_change,90.640869140625
10127,recovered,
10168,rate_change,100.640869140625
10247,rate_change,110.640869140625
10328,rate_change,120.640869140625
10409,rate_change,130.640869140625
10487,rate_change,140.640869140625
10568,rate_change,150.640869140625
10576,worsening,0
10577,rate_change,75.3204345703125
10648,rate_change,85.3204345703125
10677,recovered,
10727,rate_change,95.3204345703125
