elapsed_ms,kind,detail
389,rate_change,50.0
644,worsening,0
735,rate_change,60.0
750,recovered,
783,rate_change,70.0
812,rate_change,80.0
913,rate_change,90.0
1016,rate_change,100.0
1047,rate_change,110.0
1128,rate_change,120.0
1204,rate_change,130.0
1287,rate_change,140.0
1371,rate_change,150.0
1449,rate_change,160.0
1524,rate_change,170.0
1605,rate_change,180.0
1685,rate_change,190.0
1764,rate_change,200.0
1844,rate_change,210.0
1890,worsening,0
1891,rate_change,105.0
1924,rate_change,115.0
2005,rate_change,125.0
2040,recovered,
2084,rate_change,135.0
2164,rate_change,145.0
2252,rate_change,155.0
2324,rate_change,165.0
2404,rate_change,175.0
2485,rate_change,185.0
2564,rate_change,195.0
2640,rate_change,97.5
2640,worsening,0
2644,rate_change,107.5
2725,rate_change,117.5
2790,recovered,
2805,rate_change,127.5
2884,rate_change,137.5
2968,rate_change,147.5
3045,rate_change,157.5
3129,rate_change,167.5
3206,rate_change,177.5
3284,rate_change,187.5
3364,rate_change,197.5
3440,rate_change,98.75
3440,worsening,0
3444,rate_change,108.75
3524,rate_change,118.75
3565,recovered,
3604,rate_change,128.75
3684,rate_change,138.75
3764,rate_change,148.75
3844,rate_change,158.75
3924,rate_change,168.75
4046,rate_change,178.75
4089,rate_change,188.75
4164,rate_change,198.75
4244,rate_change,208.75
4324,rate_change,218.75
4406,rate_change,228.75
4484,rate_change,238.75
4564,rate_change,248.75
4644,rate_change,258.75
4724,rate_change,268.75
4804,rate_change,278.75
4884,rate_change,288.75
4940,rate_change,144.375
4940,worsening,0
4964,rate_change,154.375
5041,recovered,
5045,rate_change,164.375
5124,rate_change,174.375
5204,rate_change,184.375
5284,rate_change,194.375
5364,rate_change,204.375
5444,rate_change,214.375
5524,rate_change,224.375
5604,rate_change,234.375
5685,rate_change,244.375
5764,rate_change,254.375
5844,rate_change,264.375
5925,rate_change,274.375
6075,rate_change,284.375
6095,rate_change,294.375
6115,rate_change,147.1875
6115,worsening,0
6164,rate_change,157.1875
6245,rate_change,167.1875
6265,recovered,
6324,rate_change,177.1875
6404,rate_change,187.1875
6484,rate_change,197.1875
6564,rate_change,207.1875
6644,rate_change,217.1875
6724,rate_change,227.1875
6813,rate_change,237.1875
6892,rate_change,247.1875
6966,rate_change,257.1875
7044,rate_change,267.1875
7124,rate_change,277.1875
7239,rate_change,287.1875
7288,rate_change,297.1875
7364,rate_change,307.1875
7444,rate_change,317.1875
7524,rate_change,327.1875
7604,rate_change,337.1875
7684,rate_change,347.1875
7766,rate_change,357.1875
7844,rate_change,367.1875
7924,rate_change,377.1875
8004,rate_change,387.1875
8084,rate_change,397.1875
8164,rate_change,400.0
