elapsed_ms,aimd_rps,admitted_rps,backend_capacity_rps,observed_failure_ratio
367,50.0,8.168993782448128,500.0,0.0
452,50.0,493.6486808120521,500.0,0.0
526,50.0,53.88033874515089,500.0,0.0
583,50.0,52.35910492110138,500.0,0.0
634,50.0,58.95767662260714,500.0,0.39622641509433965
699,50.0,46.418520989874956,500.0,0.39622641509433965
750,60.0,39.152767010223066,500.0,0.0
801,70.0,58.65785891541384,500.0,0.0
857,80.0,71.1448926033163,500.0,0.0
914,90.0,71.04380326464748,500.0,0.0
993,90.0,50.44544399008934,500.0,0.0
1046,100.0,131.77390339075336,500.0,0.0
1097,110.0,98.3857360359895,500.0,0.0
1150,120.0,94.80545191265543,500.0,0.0
1201,120.0,115.67974556008605,500.0,0.0
1252,130.0,139.87458005904426,500.0,0.0
1302,140.0,119.63521309364339,500.0,0.0
1352,140.0,119.92704358230714,500.0,0.0
1402,150.0,159.2397638888325,500.0,0.0
1452,160.0,139.6987145762477,500.0,0.0
1502,160.0,159.38795027095952,500.0,0.0
1552,170.0,159.7319187261635,500.0,0.0
1602,170.0,179.43433326438404,130.0,0.0
1653,180.0,158.86438337375407,130.0,0.0
1703,190.0,179.78665436872683,130.0,0.0
1753,190.0,179.15854962315592,130.0,0.08695652173913043
1803,200.0,199.33521705113446,130.0,0.20833333333333334
1853,210.0,179.26278180980717,130.0,0.27586206896551724
1904,105.0,178.8861368471394,130.0,0.3333333333333333
1954,115.0,99.83253092936599,130.0,0.21428571428571427
2004,115.0,119.71746677840297,130.0,0.13333333333333333
2055,125.0,118.50203473918748,130.0,0.0
2106,135.0,97.10984967142785,130.0,0.0
2157,135.0,138.0518591019849,130.0,0.0
2207,145.0,138.88027776055551,130.0,0.0
2258,155.0,119.32353341085782,130.0,0.0
2308,155.0,159.41839069685287,130.0,0.0
2359,165.0,157.07243063323142,130.0,0.0
2410,175.0,176.36727505211408,130.0,0.0
2462,175.0,153.60983102918587,130.0,0.08
2513,185.0,176.1808398442757,130.0,0.19047619047619047
